arm,eval_set,scope,metric,mean,std,folds
single_phase_only,multiphase_diagnostic,opxrd,mae_a,1.4146123980241885,0.472706382414963,5
single_phase_only,multiphase_diagnostic,opxrd,mae_a_med,1.175331943431848,0.38089909388131976,5
single_phase_only,multiphase_diagnostic,opxrd,mape_a_med,32.56145274013444,10.444664744604271,5
single_phase_only,multiphase_diagnostic,opxrd,mae_b,1.7982195329134747,0.5762397197359923,5
single_phase_only,multiphase_diagnostic,opxrd,mape_b_med,41.59832586088519,12.260340534400866,5
single_phase_only,multiphase_diagnostic,opxrd,mae_c,3.296321889019788,1.102297679463986,5
single_phase_only,multiphase_diagnostic,opxrd,mape_c_med,77.65752733720853,25.367948356576445,5
single_phase_only,multiphase_diagnostic,opxrd,mae_ang,7.730555387242211,2.2108151384005055,5
single_phase_only,multiphase_diagnostic,opxrd,mae_vol,143.3794054206418,81.1798293311871,5
single_phase_only,multiphase_diagnostic,opxrd,mape_vol_med,197.31925888061522,114.28738627543207,5
single_phase_only,multiphase_diagnostic,rruff,sys_acc,,,0
single_phase_only,multiphase_diagnostic,rruff,sg_acc,,,0
single_phase_only,multiphase_diagnostic,rruff,sg_top5,,,0
single_phase_only,multiphase_diagnostic,rruff,el_f1_micro,,,0
single_phase_only,multiphase_diagnostic,rruff,el_exact,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_a,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_a_med,,,0
single_phase_only,multiphase_diagnostic,rruff,mape_a_med,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_b,,,0
single_phase_only,multiphase_diagnostic,rruff,mape_b_med,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_c,,,0
single_phase_only,multiphase_diagnostic,rruff,mape_c_med,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_ang,,,0
single_phase_only,multiphase_diagnostic,rruff,mae_vol,,,0
single_phase_only,multiphase_diagnostic,rruff,mape_vol_med,,,0
single_phase_only,single_phase,combined,sys_acc,0.561769860719693,0.02547603131356366,5
single_phase_only,single_phase,combined,sg_acc,0.4202071717815243,0.026801937928231823,5
single_phase_only,single_phase,combined,sg_top5,0.6804004922209294,0.0320725590491968,5
single_phase_only,single_phase,combined,el_f1_micro,0.546523186750963,0.013122024161532372,5
single_phase_only,single_phase,combined,el_exact,0.006647593436718681,0.005935464866474222,5
single_phase_only,single_phase,combined,mae_a,3.0202581203478056,0.3200927958943911,5
single_phase_only,single_phase,combined,mae_a_med,1.9096880657489799,0.041791791635135196,5
single_phase_only,single_phase,combined,mape_a_med,25.086398346379372,0.9226831207164062,5
single_phase_only,single_phase,combined,mae_b,3.0630501622044912,0.18800059827582236,5
single_phase_only,single_phase,combined,mape_b_med,22.936727365081236,1.0625815490438808,5
single_phase_only,single_phase,combined,mae_c,4.0008732015349455,0.279163206709305,5
single_phase_only,single_phase,combined,mape_c_med,27.462252901253102,1.5940202404458084,5
single_phase_only,single_phase,combined,mae_ang,5.231819867418886,0.23052480453900862,5
single_phase_only,single_phase,combined,mae_vol,1269.666441980639,740.8633781522419,5
single_phase_only,single_phase,combined,mape_vol_med,40.17419624328613,2.064894780956751,5
single_phase_only,single_phase,opxrd,sys_acc,0.5541292970082994,0.04606065693026945,5
single_phase_only,single_phase,opxrd,sg_acc,,,0
single_phase_only,single_phase,opxrd,sg_top5,,,0
single_phase_only,single_phase,opxrd,el_f1_micro,,,0
single_phase_only,single_phase,opxrd,el_exact,,,0
single_phase_only,single_phase,opxrd,mae_a,3.4534165933847767,0.928234159201236,5
single_phase_only,single_phase,opxrd,mae_a_med,1.9600215810249222,0.2644306428482918,5
single_phase_only,single_phase,opxrd,mape_a_med,25.62862385316045,2.513496459704261,5
single_phase_only,single_phase,opxrd,mae_b,3.4585355885377935,0.3722312209710446,5
single_phase_only,single_phase,opxrd,mape_b_med,24.579863779990525,2.2616925053291776,5
single_phase_only,single_phase,opxrd,mae_c,4.652558303661989,0.46917960066749836,5
single_phase_only,single_phase,opxrd,mape_c_med,26.350910582953652,2.2128976014599444,5
single_phase_only,single_phase,opxrd,mae_ang,4.885188752405012,0.23840938567313397,5
single_phase_only,single_phase,opxrd,mae_vol,2260.8705296415146,1716.3926151907744,5
single_phase_only,single_phase,opxrd,mape_vol_med,42.182017135620114,7.162013068456494,5
single_phase_only,single_phase,rruff,sys_acc,0.567377570489718,0.0313980793120003,5
single_phase_only,single_phase,rruff,sg_acc,0.4202071717815243,0.026801937928231823,5
single_phase_only,single_phase,rruff,sg_top5,0.6804004922209294,0.0320725590491968,5
single_phase_only,single_phase,rruff,el_f1_micro,0.546523186750963,0.013122024161532372,5
single_phase_only,single_phase,rruff,el_exact,0.006647593436718681,0.005935464866474222,5
single_phase_only,single_phase,rruff,mae_a,2.67050663469949,0.19356194507932387,5
single_phase_only,single_phase,rruff,mae_a_med,1.8902137363438265,0.1621388250079254,5
single_phase_only,single_phase,rruff,mape_a_med,24.313958380015656,1.8442009719708838,5
single_phase_only,single_phase,rruff,mae_b,2.745685737201229,0.2025268739638431,5
