fold,arm,candidate,best_reference_epoch,best_steps,el_threshold,inner_score,train_rows,reference_train_rows,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
3,single_phase_only,head_only,12,420,0.3,1.2303049681282483,1456,2188,454,226,0.37168141592920356,0.6991150442477876,452,0.5730088495575221,449,3.106709061849797,2.8888635242751883,3.8888772672173677,5.397669242627374,655.6099282925272,2.185954895629809,27.51301889892106,24.79662015333591,24.48428721425466,48.86811447143555,262,0.5599654874892148,0.011450381679389313
3,single_phase_only,conservative,16,560,0.2,1.2161347691416453,1456,2188,454,226,0.3938053097345133,0.7212389380530974,452,0.5464601769911505,449,3.157982695334036,2.9624495841998413,3.984851010005971,5.257701658428903,668.8008508491091,2.3401125787262655,29.136292274725523,23.70065465310061,27.136032780455054,53.236175537109375,262,0.555515370705244,0.022900763358778626
3,single_phase_only,balanced,24,840,0.3,1.1967295422817446,1456,2188,454,226,0.3893805309734513,0.7212389380530974,452,0.5309734513274337,449,3.151565723269823,2.85018322454314,4.028772273391517,5.530694206026773,641.2660672500033,2.2606358845952474,27.754034950533892,23.8402570444288,26.8089796828911,51.61088943481445,262,0.5589482612383376,0.011450381679389313
3,single_phase_only,stronger,12,420,0.3,1.1967360725252962,1456,2188,454,226,0.3805309734513274,0.7123893805309734,452,0.5464601769911505,449,3.1765526651979465,2.919770824845887,4.033349635339665,5.604554333268925,639.470487853732,2.164666966165947,28.416605049956072,24.330963489437586,25.550515400947152,51.55614471435547,262,0.5528317836010144,0.0
4,all_real_control,head_only,17,612,0.3,1.3234390810027967,2251,2251,450,197,0.4517766497461929,0.6802030456852792,444,0.6171171171171171,438,2.7682859012107097,2.8995179911370164,3.7324885011382527,5.239100152659531,817.6880502657259,1.7862217784605583,23.12503350148566,22.45538239311025,26.78300132341002,39.63490104675293,253,0.5535791757049893,0.003952569169960474
4,all_real_control,conservative,26,936,0.3,1.2873578426660497,2251,2251,450,197,0.45685279187817257,0.7411167512690355,444,0.5855855855855856,438,2.8728769251529456,2.953092615470397,3.817924689850767,5.20829781746027,825.1804902324938,1.8330283038183885,24.490711826359465,22.00390792455039,28.792022475416914,41.57802963256836,253,0.5358764759309719,0.003952569169960474
4,all_real_control,balanced,15,540,0.3,1.3130754731662462,2251,2251,450,197,0.4517766497461929,0.7157360406091371,444,0.6036036036036037,438,2.780015831619248,2.9216362441544135,3.74157005798001,5.202642704689503,812.0775394091323,1.7308626540636132,22.411260842796274,21.647143467076674,27.04058545256753,38.27128219604492,253,0.547703180212014,0.0
4,all_real_control,stronger,22,792,0.2,1.3320769337716676,2251,2251,450,197,0.4416243654822335,0.6751269035532995,444,0.6261261261261262,438,2.7318512831778956,2.8110548051099555,3.4443012504102164,5.46296068850736,770.2162330575185,1.6509312853969855,22.001667910937165,21.05961850515682,22.043666937790974,35.154855728149414,253,0.5622086769451416,0.011857707509881422
4,single_phase_only,head_only,16,576,0.3,1.3324450105306151,1494,2251,450,197,0.4263959390862944,0.6852791878172588,444,0.6261261261261262,438,2.7660256713437397,2.9040937702770395,3.644624094583509,5.3339210221796955,806.6369658518055,1.843493904885984,23.630948310799237,21.8880808843388,25.919049091163174,40.591535568237305,253,0.5667808219178081,0.003952569169960474
4,single_phase_only,conservative,21,756,0.3,1.3046110519284235,1494,2251,450,197,0.45685279187817257,0.7360406091370558,444,0.5833333333333334,438,2.8526321680316156,2.953022239170456,3.745002685980217,5.19678048738252,816.6752753671445,1.8929660678670464,24.639452586026934,23.296553640539738,27.567199575225374,40.18962287902832,253,0.5554083885209713,0.003952569169960474
4,single_phase_only,balanced,17,612,0.3,1.336102913467706,1494,2251,450,197,0.4467005076142132,0.7055837563451777,444,0.6171171171171171,438,2.774299192960665,2.922447235456737,3.63995429966179,5.260960934863994,797.0548048759704,1.7432042674234647,22.66854621462069,22.435124510907038,25.348858662116733,37.37783241271973,253,0.5631737818025011,0.007905138339920948
4,single_phase_only,stronger,11,396,0.3,1.3367853846234001,1494,2251,450,197,0.4416243654822335,0.700507614213198,444,0.6148648648648649,438,2.7062831194125816,2.858768532536207,3.568879882482218,5.305191494666581,776.0042914037836,1.7187299178995308,21.72765072045286,22.032269564154824,22.716120168519105,38.4598445892334,253,0.5673994193280797,0.019762845849802372
5,all_real_control,head_only,16,544,0.3,1.270538937802533,2122,2122,428,207,0.463768115942029,0.7198067632850241,423,0.5460992907801419,416,2.835790913736166,2.5135261966104356,3.2070538970555216,5.486647506755785,563.4405242479764,1.8769285582863593,24.16562099199424,19.961827692463334,24.01020628153487,37.235029220581055,239,0.5641263940520447,0.02510460251046025
5,all_real_control,conservative,24,816,0.3,1.2789596230051525,2122,2122,428,207,0.4782608695652174,0.7439613526570048,423,0.5673758865248227,416,2.9833728939420068,2.5089625569773566,3.248800109959174,5.491146861198753,620.3547419217916,1.9799410517337317,24.718864378151153,19.257286877357974,24.879002703786256,40.178016662597656,239,0.5454545454545454,0.008368200836820083
5,all_real_control,balanced,16,544,0.3,1.3238906224098166,2122,2122,428,207,0.5072463768115942,0.7391304347826086,423,0.5839243498817966,416,2.9047705541451276,2.4620039117094064,3.2859979681730915,5.601226313896893,629.8803582099767,1.9527313170114686,23.982980742033057,18.513256147170082,23.957791222364943,38.74276351928711,239,0.5588235294117647,0.0041841004184100415
5,all_real_control,stronger,13,442,0.4,1.317298527164237,2122,2122,428,207,0.4927536231884058,0.7294685990338164,423,0.5839243498817966,416,2.826533697338453,2.467953768082226,3.3610920270370346,5.827154960164696,652.7964423711484,1.8530831206117426,22.72736313100635,17.99354917378195,23.903486292586777,36.84390640258789,239,0.5625,0.016736401673640166
5,single_phase_only,head_only,15,510,0.4,1.2903352986024632,1481,2122,428,207,0.46859903381642515,0.7101449275362319,423,0.5437352245862884,416,2.8250617779163703,2.458779359147544,3.1815207402289336,5.530436284895304,546.8981612095466,1.8511818312738737,24.85457620017897,18.87761516667299,23.11559934140405,36.10343360900879,239,0.5866261398176291,0.02510460251046025
5,single_phase_only,conservative,18,612,0.3,1.3082749551188613,1481,2122,428,207,0.4975845410628019,0.748792270531401,423,0.5673758865248227,416,3.00127934170206,2.5153315729272423,3.257037561126749,5.459981904300833,625.4747468324808,2.070563835641418,25.302662364593893,18.901154909363886,25.22677878814285,40.20852279663086,239,0.5641723356009071,0.0
5,single_phase_only,balanced,20,680,0.3,1.324696607508574,1481,2122,428,207,0.47342995169082125,0.7342995169082126,423,0.5862884160756501,416,2.9273167604641945,2.527739746890858,3.2237517680207235,5.635755374173768,662.6698552186673,1.8729646310652752,23.938430722211464,20.48744786134521,23.39031492820623,39.12906837463379,239,0.5771992818671455,0.0041841004184100415
5,single_phase_only,stronger,10,340,0.4,1.3412279287338569,1481,2122,428,207,0.4830917874396135,0.7294685990338164,423,0.5910165484633569,416,2.8915836772972066,2.5618335269033565,3.1700957614069614,5.58186070584838,655.665320781561,1.8881918107057198,23.93117565881645,20.873701443225922,22.345104577368346,38.454097747802734,239,0.5825147347740669,0.016736401673640166
