lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.5406,1.54439,5,80,0.055227,25,0,0.00028253695583382307,0.9560485511504911,0.0,99
1.5406,1.54439,15,90,0.020458,25,0,0.00028253695583382307,0.956331088106325,0.0,100
1.5406,1.54439,28,38,0.015346,25,0,0.00028253695583382307,0.9566136250621587,0.0,101
1.20793,1.20839,20,90,0.015004,24,0,0.0002712354776004701,0.9568848605397592,0.0,102
0.41421,,0,35,0.0088,23,23,0.0002599339993671172,0.9571447945391263,0.010869565217391304,103
1.20793,1.20839,20,42,0.015004,23,0,0.0002599339993671172,0.9574047285384933,0.0,104
1.20793,1.20839,15,100,0.068715,22,0,0.0002486325211337643,0.9576533610596271,0.0,105
1.20793,1.20839,20,29,0.015004,22,0,0.0002486325211337643,0.9579019935807608,0.0,106
1.5406,1.54439,5,50,0.020458,22,0,0.0002486325211337643,0.9581506261018945,0.0,107
1.5406,1.54439,8,70,0.020458,22,0,0.0002486325211337643,0.9583992586230282,0.0,108
1.5406,1.54439,20,92,0.020458,22,0,0.0002486325211337643,0.9586478911441619,0.0,109
1.5406,1.54439,10,75,0.011254,21,0,0.00023733104290041138,0.9588852221870623,0.0,110
1.5406,1.54439,10,80,0.017392,21,0,0.00023733104290041138,0.9591225532299626,0.0,111
1.5406,1.54439,10,90,0.015346,21,0,0.00023733104290041138,0.959359884272863,0.0,112
1.5406,1.54439,10,120,0.017,21,21,0.00023733104290041138,0.9595972153157634,0.00992438563327032,113
,,2,166,0.05,21,21,0.00023733104290041138,0.9598345463586637,0.00992438563327032,114
1.20793,1.20839,5,60,0.015004,20,0,0.00022602956466705846,0.9600605759233308,0.0,115
1.20793,1.20839,20,44,0.015004,20,0,0.00022602956466705846,0.9602866054879979,0.0,116
1.20793,1.20839,25,36,0.015004,20,0,0.00022602956466705846,0.960512635052665,0.0,117
1.5406,1.54439,3,90,0.022,20,20,0.00022602956466705846,0.9607386646173321,0.00945179584120983,118
1.5406,1.54439,5,90,0.020458,20,0,0.00022602956466705846,0.9609646941819993,0.0,119
1.5406,1.54439,10,91,0.023531,20,0,0.00022602956466705846,0.9611907237466664,0.0,120
