fold,eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all
2,multiphase_diagnostic,combined,mae_a,1.1483621619617304,0.13581580413294417,1.012546357828786
2,multiphase_diagnostic,combined,mae_a_med,0.9848022283661901,0.0700274004492798,0.9147748279169103
2,multiphase_diagnostic,combined,mape_a_med,27.332836774187147,1.9456966054131937,25.387140168773954
2,multiphase_diagnostic,combined,mae_b,1.2833606207167225,0.217743928471559,1.0656166922451635
2,multiphase_diagnostic,combined,mape_b_med,29.469031365451876,4.676845257656181,24.792186107795693
2,multiphase_diagnostic,combined,mae_c,1.9530504635736965,0.17175173651919423,1.7812987270545022
2,multiphase_diagnostic,combined,mape_c_med,46.32966005317755,2.2282814675435483,44.101378585634
2,multiphase_diagnostic,combined,mae_ang,8.249644565848504,1.1102469638135384,7.139397602034966
2,multiphase_diagnostic,combined,mae_vol,70.01294675863014,8.551610838692143,61.461335919937994
2,multiphase_diagnostic,combined,mape_vol_med,99.57304000854492,8.07788610458374,91.49515390396118
2,multiphase_diagnostic,opxrd,sys_acc,0.9811320754716981,0.9811320754716981,0.0
2,multiphase_diagnostic,opxrd,sg_acc,0.05333333333333334,0.41333333333333333,-0.36
2,multiphase_diagnostic,opxrd,sg_top5,0.09333333333333334,0.7466666666666667,-0.6533333333333333
2,multiphase_diagnostic,opxrd,el_f1_micro,0.030952380952380953,0.6362416107382549,-0.605289229785874
2,multiphase_diagnostic,opxrd,el_exact,0.0,0.5362318840579711,-0.5362318840579711
2,multiphase_diagnostic,opxrd,mae_a,1.1483621619617304,0.13581580413294417,1.012546357828786
2,multiphase_diagnostic,opxrd,mae_a_med,0.9848022283661901,0.0700274004492798,0.9147748279169103
2,multiphase_diagnostic,opxrd,mape_a_med,27.332836774187147,1.9456966054131937,25.387140168773954
2,multiphase_diagnostic,opxrd,mae_b,1.2833606207167225,0.217743928471559,1.0656166922451635
2,multiphase_diagnostic,opxrd,mape_b_med,29.469031365451876,4.676845257656181,24.792186107795693
2,multiphase_diagnostic,opxrd,mae_c,1.9530504635736965,0.17175173651919423,1.7812987270545022
2,multiphase_diagnostic,opxrd,mape_c_med,46.32966005317755,2.2282814675435483,44.101378585634
2,multiphase_diagnostic,opxrd,mae_ang,8.249644565848504,1.1102469638135384,7.139397602034966
2,multiphase_diagnostic,opxrd,mae_vol,70.01294675863014,8.551610838692143,61.461335919937994
2,multiphase_diagnostic,opxrd,mape_vol_med,99.57304000854492,8.07788610458374,91.49515390396118
3,single_phase,combined,sys_acc,0.6012269938650306,0.5930470347648262,0.008179959100204415
3,single_phase,combined,sg_acc,0.41201716738197425,0.44206008583690987,-0.03004291845493562
3,single_phase,combined,sg_top5,0.7253218884120172,0.703862660944206,0.02145922746781115
3,single_phase,combined,el_f1_micro,0.5549577248270562,0.5370793858216268,0.017878339005429345
3,single_phase,combined,el_exact,0.003676470588235294,0.003676470588235294,0.0
3,single_phase,combined,mae_a,2.8930326008302427,2.893983215416013,-0.0009506145857702819
3,single_phase,combined,mae_a_med,1.9337941467984088,1.902392634081484,0.03140151271692471
3,single_phase,combined,mape_a_med,24.943041138472335,24.641466539606636,0.3015745988656988
3,single_phase,combined,mae_b,2.8959954738324183,2.9006658308450177,-0.004670357012599435
3,single_phase,combined,mape_b_med,23.224291236798713,22.990249562172707,0.2340416746260061
3,single_phase,combined,mae_c,3.516378142219685,3.562514135422707,-0.046135993203022085
3,single_phase,combined,mape_c_med,28.474003918027115,28.537542686931364,-0.06353876890424814
3,single_phase,combined,mae_ang,4.878529012583136,4.892845483012157,-0.014316470429021066
3,single_phase,combined,mae_vol,660.3098674226948,657.9887584281811,2.321108994513679
3,single_phase,combined,mape_vol_med,36.43384552001953,35.764793395996094,0.6690521240234375
3,single_phase,rruff,sys_acc,0.6264150943396226,0.6188679245283019,0.007547169811320753
3,single_phase,rruff,sg_acc,0.41201716738197425,0.44206008583690987,-0.03004291845493562
3,single_phase,rruff,sg_top5,0.7253218884120172,0.703862660944206,0.02145922746781115
3,single_phase,rruff,el_f1_micro,0.5549577248270562,0.5370793858216268,0.017878339005429345
3,single_phase,rruff,el_exact,0.003676470588235294,0.003676470588235294,0.0
3,single_phase,rruff,mae_a,2.7902227850923356,2.7606483868637004,0.029574398228635168
3,single_phase,rruff,mae_a_med,1.9337941467984088,1.9001742682234308,0.033619878574977946
3,single_phase,rruff,mape_a_med,23.85748924691908,24.086635734233084,-0.22914648731400433
3,single_phase,rruff,mae_b,2.8128218307296096,2.817404272127276,-0.0045824413976665035
3,single_phase,rruff,mape_b_med,23.860117610458655,24.178533631479247,-0.3184160210205924
3,single_phase,rruff,mae_c,2.982110017730363,2.963579713472798,0.018530304257565078
3,single_phase,rruff,mape_c_med,31.129477351297982,31.19112338560765,-0.06164603430966764
3,single_phase,rruff,mae_ang,5.122829490699395,5.106873802113413,0.015955688585981953
3,single_phase,rruff,mae_vol,365.6086300950106,363.80627073295386,1.802359362056734
3,single_phase,rruff,mape_vol_med,37.26668930053711,35.272979736328125,1.9937095642089844
3,single_phase,opxrd,sys_acc,0.5714285714285714,0.5625,0.008928571428571397
3,single_phase,opxrd,mae_a,3.0109885054938244,3.046961121388978,-0.03597261589515366
3,single_phase,opxrd,mae_a_med,1.933495654804029,1.9650569858436,-0.03156133103957104
3,single_phase,opxrd,mape_a_med,25.760286921232733,25.996887787568234,-0.23660086633550037
3,single_phase,opxrd,mae_b,2.991422376856623,2.996193601338142,-0.00477122448151901
3,single_phase,opxrd,mape_b_med,21.83389303909445,22.127200587440647,-0.2933075483461991
3,single_phase,opxrd,mae_c,4.129355410048952,4.24968443203488,-0.12032902198592854
3,single_phase,opxrd,mape_c_med,23.618293547046335,24.89302319027597,-1.2747296432296338
3,single_phase,opxrd,mae_ang,4.598237839030105,4.647286206186162,-0.04904836715605665
3,single_phase,opxrd,mae_vol,998.4269120352609,995.5106304713657,2.9162815638951542
