fold,arm,eval_set,candidate,reference_epochs,optimizer_steps,el_threshold,scope,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
3,all_real_control,single_phase,head_only,14,616,0.2,combined,496,233,0.44206008583690987,0.703862660944206,489,0.5930470347648262,481,2.893983215416013,2.9006658308450177,3.562514135422707,4.892845483012157,657.9887584281811,1.902392634081484,24.641466539606636,22.990249562172707,28.537542686931364,35.764793395996094,272,0.5370793858216268,0.003676470588235294
3,all_real_control,single_phase,head_only,14,616,0.2,rruff,272,233,0.44206008583690987,0.703862660944206,265,0.6188679245283019,257,2.7606483868637004,2.817404272127276,2.963579713472798,5.106873802113413,363.80627073295386,1.9001742682234308,24.086635734233084,24.178533631479247,31.19112338560765,35.272979736328125,272,0.5370793858216268,0.003676470588235294
3,all_real_control,single_phase,head_only,14,616,0.2,opxrd,224,0,,,224,0.5625,224,3.046961121388978,2.996193601338142,4.24968443203488,4.647286206186162,995.5106304713657,1.9650569858436,25.996887787568234,22.127200587440647,24.89302319027597,38.11964797973633,0,,
3,all_real_control,multiphase_diagnostic,head_only,14,616,0.2,combined,199,150,0.26,0.29333333333333333,28,1.0,28,0.13240458021785856,0.1531650982055799,0.2387628373943827,0.8488862602177807,5.280900001525879,0.1123151299507823,3.085580442292475,2.9475042533346008,4.357879681829504,7.4197962284088135,199,0.42001787310098304,0.34673366834170855
3,all_real_control,multiphase_diagnostic,head_only,14,616,0.2,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
3,all_real_control,multiphase_diagnostic,head_only,14,616,0.2,opxrd,199,150,0.26,0.29333333333333333,28,1.0,28,0.13240458021785856,0.1531650982055799,0.2387628373943827,0.8488862602177807,5.280900001525879,0.1123151299507823,3.085580442292475,2.9475042533346008,4.357879681829504,7.4197962284088135,199,0.42001787310098304,0.34673366834170855
3,single_phase_only,single_phase,head_only,12,528,0.3,combined,496,233,0.41201716738197425,0.7253218884120172,489,0.6012269938650306,481,2.8930326008302427,2.8959954738324183,3.516378142219685,4.878529012583136,660.3098674226948,1.9337941467984088,24.943041138472335,23.224291236798713,28.474003918027115,36.43384552001953,272,0.5549577248270562,0.003676470588235294
3,single_phase_only,single_phase,head_only,12,528,0.3,rruff,272,233,0.41201716738197425,0.7253218884120172,265,0.6264150943396226,257,2.7902227850923356,2.8128218307296096,2.982110017730363,5.122829490699395,365.6086300950106,1.9337941467984088,23.85748924691908,23.860117610458655,31.129477351297982,37.26668930053711,272,0.5549577248270562,0.003676470588235294
3,single_phase_only,single_phase,head_only,12,528,0.3,opxrd,224,0,,,224,0.5714285714285714,224,3.0109885054938244,2.991422376856623,4.129355410048952,4.598237839030105,998.4269120352609,1.933495654804029,25.760286921232733,21.83389303909445,23.618293547046335,36.292842864990234,0,,
3,single_phase_only,multiphase_diagnostic,head_only,12,528,0.3,combined,199,150,0.04666666666666667,0.06666666666666667,28,0.9285714285714286,28,1.512262422505202,2.0041658333795946,3.735491767533218,6.219782385703092,165.56327125004358,1.1546854367620405,31.72212686068374,48.54998204851299,73.52938461936965,179.280029296875,199,0.07917059377945335,0.0
3,single_phase_only,multiphase_diagnostic,head_only,12,528,0.3,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
